# Extracted with Webplotdigitized in a semi-automatic fashion from
# https://indico.in2p3.fr/event/10225/contributions/1441/attachments/994/1289/GIF20140909_CIB_HDole.pdf
# (slide 6).
#
# Note this does not include the (gray) CMB bump, which we can model analyitically
# fairly easily.
5.04825e-4, 1.77679e-6
5.52471e-4, 2.50373e-6
7.86416e-4, 4.32136e-6
9.91955e-4, 6.49917e-6
1.27790e-3, 9.68627e-6
1.68141e-3, 1.44550e-5
2.30771e-3, 2.16625e-5
3.37436e-3, 3.29510e-5
5.25657e-3, 4.87870e-5
8.36337e-3, 6.74003e-5
1.33064e-2, 8.65985e-5
2.11709e-2, 1.04680e-4
3.36836e-2, 1.20827e-4
5.35916e-2, 1.33833e-4
8.52660e-2, 1.47508e-4
1.35661e-1, 1.59920e-4
2.15841e-1, 1.75680e-4
3.43410e-1, 1.96201e-4
5.46376e-1, 2.19120e-4
8.69302e-1, 2.39525e-4
1.38309e+0, 2.63564e-4
2.20054e+0, 2.88108e-4
3.50112e+0, 3.16500e-4
5.57040e+0, 3.47117e-4
8.86268e+0, 3.81324e-4
1.41008e+1, 4.19594e-4
2.24348e+1, 4.60184e-4
3.56945e+1, 5.11402e-4
5.67912e+1, 5.72082e-4
7.63171e+1, 9.67517e-4
8.66214e+1, 1.60776e-3
9.83170e+1, 2.67167e-3
1.11592e+2, 4.49363e-3
1.26659e+2, 7.46723e-3
1.43760e+2, 1.24086e-2
1.63171e+2, 2.08706e-2
1.85202e+2, 3.42647e-2
2.10208e+2, 5.65956e-2
2.38590e+2, 9.34802e-2
2.76581e+2, 1.64523e-1
3.07368e+2, 2.80934e-1
3.48869e+2, 5.11155e-1
3.95973e+2, 8.54557e-1
4.49437e+2, 1.36120e+0
5.10120e+2, 2.04102e+0
5.91347e+2, 3.07892e+0
7.15068e+2, 4.86300e+0
9.21201e+2, 7.54672e+0
1.34699e+3, 1.09960e+1
2.14310e+3, 1.24436e+1
3.40975e+3, 1.04999e+1
5.31170e+3, 7.43415e+0
8.10174e+3, 5.03351e+0
1.26209e+4, 3.38792e+0
2.00802e+4, 2.50544e+0
3.19483e+4, 2.28069e+0
4.57394e+4, 2.85480e+0
6.01817e+4, 4.22364e+0
8.79984e+4, 6.25642e+0
1.40008e+5, 8.37679e+0
2.22758e+5, 9.09669e+0
3.54414e+5, 8.05177e+0
5.63885e+5, 5.85709e+0
8.42107e+5, 3.90649e+0
1.13164e+6, 2.60730e+0
1.45786e+6, 1.76002e+0
1.95910e+6, 1.10643e+0
2.43660e+6, 8.45307e-1
3.53784e+6, 6.16600e-1
5.28343e+6, 4.05660e-1
7.72549e+6, 2.79053e-1
1.12963e+7, 1.89832e-1
1.68699e+7, 1.23416e-1
2.51936e+7, 8.23339e-2
3.68384e+7, 5.54665e-2
5.35820e+7, 3.82908e-2
8.04429e+7, 2.49909e-2
1.25314e+8, 1.81312e-2
1.99379e+8, 1.79527e-2
3.17218e+8, 1.99838e-2
5.04703e+8, 2.42361e-2
8.02999e+8, 3.06808e-2
1.27760e+9, 3.90319e-2
2.03270e+9, 4.86029e-2
3.23409e+9, 5.69389e-2
5.14554e+9, 6.25500e-2
8.18672e+9, 6.28601e-2
1.30253e+10, 5.78855e-2
2.07237e+10, 4.85228e-2
3.29721e+10, 3.70868e-2
5.24597e+10, 2.64495e-2
8.17216e+10, 1.80299e-2
1.24647e+11, 1.21855e-2
1.86148e+11, 8.17609e-3
2.77994e+11, 5.57617e-3
4.33060e+11, 3.81054e-3
6.89012e+11, 2.74913e-3
1.09624e+12, 2.26679e-3
1.74415e+12, 2.20837e-3
2.77500e+12, 2.42533e-3
4.41512e+12, 2.42533e-3
7.02459e+12, 2.43335e-3
1.11764e+13, 2.42533e-3
1.77819e+13, 2.28555e-3
2.82916e+13, 2.10468e-3
4.50129e+13, 1.89077e-3
7.16170e+13, 1.67634e-3
1.13945e+14, 1.45232e-3
1.81290e+14, 1.23561e-3
2.88438e+14, 1.03918e-3
4.58914e+14, 8.62521e-4
7.30147e+14, 6.99558e-4
1.16169e+15, 5.59027e-4
1.84828e+15, 4.40872e-4
2.94068e+15, 3.45974e-4
4.67871e+15, 2.67946e-4
7.44398e+15, 2.06491e-4
1.18436e+16, 1.55031e-4
2.05037e+16, 1.18362e-4
