# Extracted with Webplotdigitized in a manual fashion from
# https://indico.in2p3.fr/event/10225/contributions/1441/attachments/994/1289/GIF20140909_CIB_HDole.pdf
# (slide 6).
# This corresponds to the (gray) CMB bump only, and it is only meant to provide a
# means to check the conversions between different units of the actual EBL
# components.
7.13935e-1, 2.93134e-4
1.00000e+0, 8.47508e-4
1.65772e+0, 3.97011e-3
3.07472e+0, 2.60716e-2
5.70292e+0, 1.48135e-1
1.18351e+1, 1.23827e+0
1.96193e+1, 5.52732e+0
5.09703e+1, 6.79728e+1
1.05777e+2, 3.18415e+2
1.40069e+2, 4.91606e+2
1.65772e+2, 6.56697e+2
2.32195e+2, 7.23238e+2
3.07472e+2, 6.25759e+2
3.63895e+2, 4.68445e+2
4.07152e+2, 3.18415e+2
4.55551e+2, 2.16436e+2
5.09703e+2, 1.21292e+2
6.03237e+2, 4.19522e+1
7.98802e+2, 7.74857e+0
